Bar,Date,Time,Open,High,Low,Close
1,01/11/13,15:30,742.00,742.4264,741.178,741.178
2,01/11/13,15:31,741.00,741.22,739.07,740.1601
3,01/11/13,15:32,740.1601,740.58,739.77,740.52
4,01/11/13,15:33,740.36,740.49,739.77,739.79
5,01/11/13,15:34,739.50,740.482,739.50,740.04
6,01/11/13,15:35,740.432,740.98,740.20,740.78
7,01/11/13,15:36,740.65,741.2399,740.39,740.76
8,01/11/13,15:37,741.01,741.1692,740.38,740.69
9,01/11/13,15:38,740.68,741.00,739.60,739.60
10,01/11/13,15:39,739.72,740.04,739.45,739.90
11,01/11/13,15:40,739.82,739.83,738.51,738.51
12,01/11/13,15:41,738.598,739.6163,738.598,739.6163
13,01/11/13,15:42,739.61,740.01,739.56,739.97
14,01/11/13,15:43,739.79,740.13,739.70,740.13
15,01/11/13,15:44,740.19,740.68,739.98,740.37
16,01/11/13,15:45,740.67,741.27,740.33,740.84
17,01/11/13,15:46,740.99,740.99,740.3301,740.4796
18,01/11/13,15:47,740.7699,740.84,739.54,739.54
19,01/11/13,15:48,739.51,739.5101,738.81,738.98
20,01/11/13,15:49,739.03,740.21,738.76,740.09
21,01/11/13,15:50,740.04,740.21,738.77,740.01
22,01/11/13,15:51,740.15,740.50,740.00,740.07
23,01/11/13,15:52,740.16,740.54,739.65,740.23
24,01/11/13,15:53,740.23,740.27,739.53,740.27
25,01/11/13,15:54,740.27,740.27,739.20,739.71
26,01/11/13,15:55,739.66,739.71,739.23,739.25
27,01/11/13,15:56,739.53,739.53,738.88,739.15
28,01/11/13,15:57,739.15,739.53,739.10,739.10
29,01/11/13,15:58,739.11,739.20,739.00,739.20
30,01/11/13,15:59,738.97,739.50,738.95,739.50
31,01/11/13,16:00,739.29,739.77,739.24,739.45
32,01/11/13,16:01,739.5525,740.13,739.5525,740.13
33,01/11/13,16:02,740.07,740.13,739.63,739.63
34,01/11/13,16:03,739.88,740.095,739.65,739.78
35,01/11/13,16:04,739.70,739.85,739.58,739.85
36,01/11/13,16:05,739.6539,739.82,739.06,739.275
37,01/11/13,16:06,739.66,740.23,739.53,740.14
38,01/11/13,16:07,740.23,740.47,740.15,740.15
39,01/11/13,16:08,740.12,740.12,739.53,739.63
40,01/11/13,16:09,739.91,739.97,739.54,739.71
41,01/11/13,16:10,739.89,740.36,739.69,740.105
42,01/11/13,16:11,740.24,740.63,740.15,740.29
43,01/11/13,16:12,740.57,740.61,740.129,740.25
44,01/11/13,16:13,740.44,740.968,740.40,740.49
45,01/11/13,16:14,740.49,741.16,740.32,741.053
46,01/11/13,16:15,740.44,740.7299,740.16,740.49
47,01/11/13,16:16,740.54,740.665,740.53,740.665
48,01/11/13,16:17,740.665,740.75,740.665,740.75
49,01/11/13,16:18,740.79,740.93,740.67,740.786
50,01/11/13,16:19,740.77,740.87,740.394,740.66
51,01/11/13,16:20,740.72,740.79,740.42,740.68
52,01/11/13,16:21,740.7175,740.80,740.61,740.65
53,01/11/13,16:22,740.78,741.393,740.78,741.393
54,01/11/13,16:23,741.41,741.41,740.79,740.99
55,01/11/13,16:24,741.07,741.14,740.8401,740.89
56,01/11/13,16:25,740.88,740.93,740.76,740.93
57,01/11/13,16:26,740.88,741.2199,740.78,741.2199
58,01/11/13,16:27,740.91,740.985,740.51,740.55
59,01/11/13,16:28,740.54,740.60,740.28,740.526
60,01/11/13,16:29,740.42,740.48,740.345,740.48
61,01/11/13,16:30,740.48,740.62,740.20,740.23
62,01/11/13,16:31,740.15,740.15,739.73,740.0325
63,01/11/13,16:32,740.03,740.19,739.8825,739.95
64,01/11/13,16:33,740.25,740.33,740.02,740.26
65,01/11/13,16:34,740.10,740.18,739.80,739.83
66,01/11/13,16:36,739.87,740.18,739.84,739.94
67,01/11/13,16:37,740.09,740.23,739.89,740.05
68,01/11/13,16:38,740.09,740.12,739.84,739.84
69,01/11/13,16:39,740.045,740.41,740.045,740.14
70,01/11/13,16:40,740.54,740.95,740.18,740.19
71,01/11/13,16:41,740.19,740.25,740.09,740.25
72,01/11/13,16:42,740.27,740.47,740.11,740.24
73,01/11/13,16:43,740.268,740.275,739.73,739.77
74,01/11/13,16:44,739.76,740.00,739.73,739.73
75,01/11/13,16:45,740.09,740.12,739.88,739.88
76,01/11/13,16:46,740.108,740.108,739.58,739.66
77,01/11/13,16:47,739.7575,739.94,739.58,739.58
78,01/11/13,16:48,739.74,740.19,739.74,740.19
79,01/11/13,16:49,740.10,740.20,739.94,739.94
80,01/11/13,16:50,740.36,740.40,739.67,739.67
81,01/11/13,16:51,739.95,739.95,739.51,739.51
82,01/11/13,16:52,739.588,739.62,738.88,738.89
83,01/11/13,16:53,738.88,739.0498,738.61,738.70
84,01/11/13,16:54,738.85,738.85,738.00,738.27
85,01/11/13,16:55,738.26,739.32,738.208,739.32
86,01/11/13,16:56,739.18,739.28,739.00,739.00
87,01/11/13,16:57,739.006,739.04,738.59,738.63
88,01/11/13,16:58,738.56,738.91,738.56,738.79
89,01/11/13,16:59,738.8799,739.08,738.65,738.83
90,01/11/13,17:00,738.66,738.70,738.65,738.70
91,01/11/13,17:01,738.75,738.83,738.57,738.83
92,01/11/13,17:02,738.84,738.84,738.84,738.84
93,01/11/13,17:03,738.75,739.34,738.66,739.33
94,01/11/13,17:04,739.31,739.31,739.11,739.12
95,01/11/13,17:05,739.12,739.37,739.03,739.33
96,01/11/13,17:06,739.38,739.51,738.99,739.445
97,01/11/13,17:07,739.01,739.11,738.7401,738.7401
98,01/11/13,17:08,738.73,739.00,738.62,738.94
99,01/11/13,17:09,739.14,739.207,739.14,739.207
100,01/11/13,17:10,738.95,739.08,738.68,739.08
101,01/11/13,17:11,738.96,738.96,738.63,738.63
102,01/11/13,17:12,738.92,739.14,738.78,738.85
103,01/11/13,17:13,738.876,738.95,738.80,738.88
104,01/11/13,17:14,738.74,738.795,738.62,738.62
105,01/11/13,17:15,738.63,738.885,738.63,738.76
106,01/11/13,17:16,738.89,739.002,738.708,738.74
107,01/11/13,17:17,738.70,738.77,738.40,738.52
108,01/11/13,17:18,738.71,738.71,738.56,738.56
109,01/11/13,17:19,738.695,738.695,738.376,738.376
110,01/11/13,17:20,738.51,738.63,738.425,738.63
111,01/11/13,17:21,738.44,738.54,738.33,738.33
112,01/11/13,17:22,738.3339,738.559,738.3339,738.47
113,01/11/13,17:23,738.48,738.56,738.39,738.39
114,01/11/13,17:24,738.336,738.336,737.65,737.65
115,01/11/13,17:25,737.59,737.59,737.00,737.25
116,01/11/13,17:26,737.17,737.22,736.781,736.781
117,01/11/13,17:27,737.12,737.18,736.92,737.10
118,01/11/13,17:28,737.07,737.23,736.95,737.20
119,01/11/13,17:29,737.11,737.27,736.63,736.71
120,01/11/13,17:30,736.81,736.81,736.60,736.74
121,01/11/13,17:31,736.88,737.28,736.88,737.28
122,01/11/13,17:32,737.07,737.354,736.97,736.97
123,01/11/13,17:33,737.195,737.21,737.15,737.15
124,01/11/13,17:34,737.26,737.52,737.06,737.457
125,01/11/13,17:35,737.18,737.4599,737.12,737.12
126,01/11/13,17:36,737.03,737.17,736.903,736.903
127,01/11/13,17:37,737.07,737.07,736.80,736.899
128,01/11/13,17:38,736.918,736.96,736.767,736.96
129,01/11/13,17:39,736.76,736.97,736.76,736.97
130,01/11/13,17:40,736.75,737.0399,736.65,736.86
131,01/11/13,17:41,736.85,736.9864,736.85,736.88
132,01/11/13,17:42,737.09,737.09,737.01,737.01
133,01/11/13,17:43,737.10,737.27,737.10,737.27
134,01/11/13,17:44,737.30,737.48,737.0901,737.43
135,01/11/13,17:45,737.43,737.53,737.09,737.09
136,01/11/13,17:46,737.194,737.47,737.194,737.47
137,01/11/13,17:47,737.48,737.59,737.48,737.50
138,01/11/13,17:48,737.50,737.52,737.50,737.52
139,01/11/13,17:49,737.485,737.51,737.485,737.51
140,01/11/13,17:50,737.592,737.66,737.31,737.55
141,01/11/13,17:51,737.82,737.92,737.74,737.74
142,01/11/13,17:52,737.91,738.163,737.6301,738.10
143,01/11/13,17:53,738.10,738.27,738.00,738.2599
144,01/11/13,17:54,738.2136,738.25,738.135,738.135
145,01/11/13,17:55,738.08,738.18,737.89,738.17
146,01/11/13,17:56,737.93,738.00,737.91,738.00
147,01/11/13,17:57,737.90,738.15,737.90,738.07
148,01/11/13,17:58,738.00,738.03,737.77,737.77
149,01/11/13,17:59,737.8525,737.96,737.735,737.96
150,01/11/13,18:00,738.06,738.195,738.00,738.06
151,01/11/13,18:01,738.03,738.03,738.03,738.03
152,01/11/13,18:02,737.94,738.035,737.92,737.92
153,01/11/13,18:03,737.94,738.14,737.94,738.14
154,01/11/13,18:04,738.06,738.06,737.956,738.01
155,01/11/13,18:05,738.08,738.09,738.00,738.00
156,01/11/13,18:06,738.08,738.16,737.99,738.16
157,01/11/13,18:07,738.18,738.25,738.082,738.25
158,01/11/13,18:08,738.19,738.24,738.13,738.13
159,01/11/13,18:09,738.24,738.24,738.09,738.155
160,01/11/13,18:10,738.229,738.23,737.95,738.075
161,01/11/13,18:11,738.10,738.13,738.055,738.13
162,01/11/13,18:13,738.04,738.095,738.00,738.0475
163,01/11/13,18:14,738.09,738.19,737.59,737.59
164,01/11/13,18:15,737.6101,737.6101,737.61,737.61
